angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.36,,"[2009, 875, 185, 239]",,0.02,,0.04,,0.0,,0.21,,0.38,,0.0,
0.29,,"[2015, 881, 175, 229]",,0.01,,0.05,,0.0,,0.27,,0.38,,0.0,
0.26,,"[2014, 882, 177, 229]",,0.0,,0.05,,0.0,,0.26,,0.43,,0.0,
0.14,,"[2011, 874, 188, 245]",,0.0,,0.03,,0.02,,0.47,,0.34,,0.0,
0.17,,"[2011, 875, 186, 244]",,0.0,,0.04,,0.01,,0.15,,0.62,,0.0,
0.24,,"[2012, 876, 187, 243]",,0.0,,0.05,,0.02,,0.14,,0.53,,0.0,
0.24,,"[2012, 877, 187, 242]",,0.01,,0.07,,0.06,,0.13,,0.49,,0.0,
0.24,,"[2012, 880, 186, 241]",,0.04,,0.04,,0.05,,0.09,,0.54,,0.0,
0.2,,"[2014, 880, 185, 243]",,0.01,,0.03,,0.01,,0.07,,0.68,,0.0,
0.19,,"[2014, 880, 185, 243]",,0.01,,0.03,,0.01,,0.07,,0.69,,0.0,
0.19,,"[2016, 889, 181, 233]",,0.02,,0.03,,0.05,,0.12,,0.59,,0.0,
0.21,,"[2014, 887, 181, 238]",,0.02,,0.01,,0.06,,0.09,,0.61,,0.0,
0.07,,"[2016, 888, 178, 234]",,0.01,,0.01,,0.04,,0.03,,0.84,,0.0,
0.08,,"[2016, 888, 177, 234]",,0.01,,0.01,,0.03,,0.03,,0.84,,0.0,
0.08,,"[2015, 889, 178, 233]",,0.01,,0.01,,0.03,,0.04,,0.83,,0.0,
0.06,,"[2014, 890, 181, 239]",,0.0,,0.01,,0.45,,0.18,,0.3,,0.0,
0.03,,"[2013, 886, 186, 244]",,0.0,,0.0,,0.89,,0.05,,0.03,,0.0,
0.03,,"[2010, 886, 184, 237]",,0.0,,0.0,,0.94,,0.01,,0.01,,0.0,
0.03,,"[2009, 881, 186, 243]",,0.0,,0.0,,0.91,,0.01,,0.04,,0.0,
0.0,,"[2010, 870, 182, 246]",,0.0,,0.0,,0.98,,0.01,,0.0,,0.0,
0.01,,"[2005, 866, 192, 251]",,0.0,,0.0,,0.94,,0.01,,0.03,,0.0,
0.01,,"[2008, 862, 185, 245]",,0.0,,0.0,,0.98,,0.01,,0.0,,0.0,
0.0,,"[2010, 865, 183, 234]",,0.0,,0.0,,0.98,,0.0,,0.01,,0.0,
0.01,,"[2004, 853, 192, 250]",,0.0,,0.0,,0.92,,0.04,,0.03,,0.0,
0.0,,"[2007, 853, 185, 241]",,0.0,,0.0,,0.98,,0.02,,0.0,,0.0,
0.01,,"[2007, 853, 184, 240]",,0.0,,0.0,,0.95,,0.04,,0.01,,0.0,
0.01,,"[2005, 852, 185, 241]",,0.0,,0.0,,0.93,,0.04,,0.01,,0.0,
0.03,,"[2003, 854, 186, 241]",,0.0,,0.01,,0.86,,0.04,,0.06,,0.0,
0.14,,"[2000, 852, 187, 243]",,0.0,,0.02,,0.66,,0.03,,0.15,,0.0,
0.09,,"[1998, 850, 189, 246]",,0.0,,0.02,,0.69,,0.06,,0.15,,0.0,
0.11,,"[2003, 851, 179, 239]",,0.0,,0.01,,0.62,,0.08,,0.19,,0.0,
0.04,,"[2003, 853, 180, 235]",,0.0,,0.02,,0.41,,0.1,,0.42,,0.0,
0.06,,"[2002, 853, 180, 234]",,0.0,,0.03,,0.32,,0.08,,0.5,,0.0,
0.06,,"[2001, 853, 180, 234]",,0.0,,0.03,,0.31,,0.08,,0.52,,0.0,
0.11,,"[1996, 853, 187, 237]",,0.01,,0.04,,0.24,,0.11,,0.5,,0.0,
0.08,,"[1995, 855, 186, 236]",,0.0,,0.04,,0.44,,0.12,,0.31,,0.0,
0.1,,"[1995, 856, 185, 234]",,0.01,,0.04,,0.15,,0.08,,0.62,,0.0,
0.1,,"[1994, 854, 186, 235]",,0.02,,0.04,,0.12,,0.09,,0.62,,0.0,
0.09,,"[1995, 854, 185, 234]",,0.01,,0.03,,0.12,,0.07,,0.69,,0.0,
0.08,,"[1995, 854, 185, 234]",,0.01,,0.03,,0.12,,0.07,,0.68,,0.0,
